Date,Win_Score,Lose_Score,Home,Away,WinnerHome,KenPomRank_Away,KenPomVal_Away,BPIrank_Away,BPIval_Away,SRS_Away,o_eff_Away,d_eff_Away,ppg_Away,papg_Away,Pace_Away,Three_Par_Away,True_Shoot_Away,Tov_Away,Opp_Three_Par_Away,Opp_True_Shoot_Away,Opp_Tov_Away,KenPomRank_Home,KenPomVal_Home,BPIrank_Home,BPIval_Home,SRS_Home,o_eff_Home,d_eff_Home,ppg_Home,papg_Home,Pace_Home,Three_Par_Home,True_Shoot_Home,Tov_Home,Opp_Three_Par_Home,Opp_True_Shoot_Home,Opp_Tov_Home
11/13/15,63,53,St. Bonaventure,Binghamton,1,325,-16.16,318,-9.3,-14.08,84.27,103.22,60.9,68.6,67.4,0.371,0.483,18.1,0.362,0.528,16,89,8.63,86,5.5,6.55,111.29,100.62,77.7,73,69.1,0.376,0.56,14.2,0.377,0.532,16.1
11/13/15,74,72,Montana,Boise State,1,90,8.61,66,7.2,7.23,109.45,98.02,77.5,70.2,70.5,0.424,0.559,14.4,0.379,0.544,18.6,143,2.28,154,0.8,-0.72,103.59,102.38,72.5,67.4,67.1,0.376,0.565,16.2,0.365,0.533,16.8
11/13/15,77,65,St. Peter's,Brown,1,265,-9.26,254,-4.9,-8.05,99.9,109.5,72.9,77,70.5,0.393,0.534,16.4,0.355,0.534,13.8,,,,,,,,,,,,,,,,
11/13/15,74,72,Nevada-Las Vegas,Cal Poly,1,203,-3.65,195,-1.7,-3.49,105.12,109.08,72.4,75.2,67.8,0.376,0.515,12.7,0.318,0.555,13.8,117,5.09,95,4.8,5.5,103.05,94.33,78.2,73.5,74,0.377,0.537,16.2,0.323,0.51,17.4
11/13/15,79,74,Loyola Marymount,Cal State Fullerton,1,264,-8.82,241,-4.4,-7.12,99.16,107.99,70.1,74.2,70,0.342,0.512,16,0.386,0.538,14.2,218,-5.21,233,-4,-3.63,102.19,106.5,71.2,74.8,68,0.352,0.512,14,0.396,0.572,17.7
11/13/15,83,71,Northern Illinois,Cal State Northridge,1,239,-6.52,262,-5.6,-6.85,97.39,105.38,71.4,75.4,71.4,0.247,0.517,16.9,0.331,0.535,16.4,165,-0.18,164,0.2,-0.46,99.03,98.17,72.4,67.2,69.3,0.346,0.525,15.5,0.414,0.511,17.9
11/13/15,60,59,Omaha,UC-Santa Barbara,0,105,6.83,72,6.7,3.79,103.76,96.8,70.8,67.2,68.3,0.359,0.533,16,0.415,0.505,15.5,148,1.83,163,0.2,-0.24,106.34,105.38,85.3,81.8,76.4,0.296,0.564,14.6,0.355,0.565,17.3
11/13/15,96,85,Hofstra,Canisius,1,237,-6.29,217,-2.8,-5.62,105.14,112,76.5,78.4,68.9,0.415,0.533,13.5,0.384,0.583,17,92,8.43,104,4.2,5.02,109.17,100.88,78.9,73.8,70.2,0.396,0.55,14.3,0.341,0.517,14.2
11/13/15,92,90,Georgia,Chattanooga,0,109,6.5,107,4.2,3.24,105.51,99.23,75.8,67.5,68.1,0.371,0.565,15.7,0.361,0.527,18,71,10.59,78,6.2,9.41,107.11,92.72,70.6,69.7,68.2,0.316,0.526,16.4,0.396,0.502,13.4
11/13/15,66,53,George Mason,Colgate,0,256,-7.71,243,-4.5,-8.61,99.73,110.71,69.8,71.5,65.4,0.429,0.549,16.1,0.372,0.56,16.8,198,-3.32,209,-2.4,-1.79,99.33,100.76,66.9,72.3,67.7,0.312,0.487,15.6,0.348,0.517,9
