teamID,metric,value,date
282,BPI,5.6,2020-12-01 19:14:48
230,BPI,5.5,2020-12-01 19:14:48
267,BPI,5.5,2020-12-01 19:14:48
287,BPI,5.5,2020-12-01 19:14:48
253,BPI,5.2,2020-12-01 19:14:48
11,BPI,5.2,2020-12-01 19:14:48
66,BPI,5.2,2020-12-01 19:14:48
52,BPI,5.0,2020-12-01 19:14:48
67,BPI,5.0,2020-12-01 19:14:48
4,BPI,4.9,2020-12-01 19:14:48
318,BPI,4.8,2020-12-01 19:14:48
231,BPI,4.8,2020-12-01 19:14:48
213,BPI,4.7,2020-12-01 19:14:48
295,BPI,4.7,2020-12-01 19:14:48
321,BPI,4.7,2020-12-01 19:14:48
339,BPI,4.7,2020-12-01 19:14:48
187,BPI,4.5,2020-12-01 19:14:48
103,BPI,4.4,2020-12-01 19:14:48
242,BPI,4.3,2020-12-01 19:14:48
278,BPI,4.3,2020-12-01 19:14:48
215,BPI,4.3,2020-12-01 19:14:48
208,BPI,4.3,2020-12-01 19:14:48
161,BPI,4.3,2020-12-01 19:14:48
222,BPI,4.2,2020-12-01 19:14:48
27,BPI,4.2,2020-12-01 19:14:48
306,BPI,4.1,2020-12-01 19:14:48
102,BPI,4.0,2020-12-01 19:14:48
41,BPI,3.9,2020-12-01 19:14:48
226,BPI,3.9,2020-12-01 19:14:48
191,BPI,3.9,2020-12-01 19:14:48
100,BPI,3.8,2020-12-01 19:14:48
340,BPI,3.8,2020-12-01 19:14:48
262,BPI,3.8,2020-12-01 19:14:48
334,BPI,3.8,2020-12-01 19:14:48
30,BPI,3.7,2020-12-01 19:14:48
26,BPI,3.7,2020-12-01 19:14:48
196,BPI,3.6,2020-12-01 19:14:48
254,BPI,3.5,2020-12-01 19:14:48
95,BPI,3.3,2020-12-01 19:14:48
271,BPI,3.2,2020-12-01 19:14:48
99,BPI,3.2,2020-12-01 19:14:48
106,BPI,3.2,2020-12-01 19:14:48
328,BPI,3.1,2020-12-01 19:14:48
156,BPI,3.0,2020-12-01 19:14:48
289,BPI,2.9,2020-12-01 19:14:48
270,BPI,2.9,2020-12-01 19:14:48
333,BPI,2.8,2020-12-01 19:14:48
312,BPI,2.8,2020-12-01 19:14:48
73,BPI,2.8,2020-12-01 19:14:48
219,BPI,2.7,2020-12-01 19:14:48
152,BPI,2.7,2020-12-01 19:14:48
34,BPI,2.5,2020-12-01 19:14:48
305,BPI,2.5,2020-12-01 19:14:48
47,BPI,2.5,2020-12-01 19:14:48
58,BPI,2.4,2020-12-01 19:14:48
350,BPI,2.4,2020-12-01 19:14:48
348,BPI,2.3,2020-12-01 19:14:48
164,BPI,2.2,2020-12-01 19:14:48
3,BPI,2.1,2020-12-01 19:14:48
344,BPI,2.1,2020-12-01 19:14:48
193,BPI,2.1,2020-12-01 19:14:48
113,BPI,2.1,2020-12-01 19:14:48
97,BPI,2.0,2020-12-01 19:14:48
330,BPI,2.0,2020-12-01 19:14:48
23,BPI,2.0,2020-12-01 19:14:48
77,BPI,2.0,2020-12-01 19:14:48
325,BPI,2.0,2020-12-01 19:14:48
145,BPI,1.9,2020-12-01 19:14:48
135,BPI,1.7,2020-12-01 19:14:48
80,BPI,1.6,2020-12-01 19:14:48
17,BPI,1.4,2020-12-01 19:14:48
320,BPI,1.4,2020-12-01 19:14:48
277,BPI,1.4,2020-12-01 19:14:48
301,BPI,1.3,2020-12-01 19:14:48
167,BPI,1.3,2020-12-01 19:14:48
260,BPI,1.3,2020-12-01 19:14:48
352,BPI,1.3,2020-12-01 19:14:48
56,BPI,1.3,2020-12-01 19:14:48
265,BPI,1.2,2020-12-01 19:14:48
258,BPI,1.1,2020-12-01 19:14:48
79,BPI,1.0,2020-12-01 19:14:48
18,BPI,1.0,2020-12-01 19:14:48
28,BPI,0.8,2020-12-01 19:14:48
98,BPI,0.8,2020-12-01 19:14:48
1,BPI,0.8,2020-12-01 19:14:48
223,BPI,0.7,2020-12-01 19:14:48
353,BPI,0.7,2020-12-01 19:14:48
308,BPI,0.6,2020-12-01 19:14:48
283,BPI,0.6,2020-12-01 19:14:48
29,BPI,0.5,2020-12-01 19:14:48
50,BPI,0.5,2020-12-01 19:14:48
94,BPI,0.5,2020-12-01 19:14:48
173,BPI,0.3,2020-12-01 19:14:48
133,BPI,0.2,2020-12-01 19:14:48
71,BPI,0.1,2020-12-01 19:14:48
10,BPI,0.1,2020-12-01 19:14:48
141,BPI,0.0,2020-12-01 19:14:48
43,BPI,-0.1,2020-12-01 19:14:48
302,BPI,-0.2,2020-12-01 19:14:48
314,BPI,-0.2,2020-12-01 19:14:48
199,BPI,-0.3,2020-12-01 19:14:48
38,BPI,-0.3,2020-12-01 19:14:48
82,BPI,-0.3,2020-12-01 19:14:48
7,BPI,-0.4,2020-12-01 19:14:48
20,BPI,-0.4,2020-12-01 19:14:48
180,BPI,-0.4,2020-12-01 19:14:48
182,BPI,-0.5,2020-12-01 19:14:48
81,BPI,-0.5,2020-12-01 19:14:48
74,BPI,-0.6,2020-12-01 19:14:48
147,BPI,-0.6,2020-12-01 19:14:48
33,BPI,-0.6,2020-12-01 19:14:48
266,BPI,-0.7,2020-12-01 19:14:48
181,BPI,-0.8,2020-12-01 19:14:48
297,BPI,-0.9,2020-12-01 19:14:48
341,BPI,-0.9,2020-12-01 19:14:48
342,BPI,-0.9,2020-12-01 19:14:48
126,BPI,-0.9,2020-12-01 19:14:48
311,BPI,-0.9,2020-12-01 19:14:48
49,BPI,-1.0,2020-12-01 19:14:48
40,BPI,-1.0,2020-12-01 19:14:48
200,BPI,-1.1,2020-12-01 19:14:48
304,BPI,-1.1,2020-12-01 19:14:48
347,BPI,-1.2,2020-12-01 19:14:48
246,BPI,-1.3,2020-12-01 19:14:48
87,BPI,-1.3,2020-12-01 19:14:48
315,BPI,-1.3,2020-12-01 19:14:48
78,BPI,-1.3,2020-12-01 19:14:48
158,BPI,-1.4,2020-12-01 19:14:48
307,BPI,-1.5,2020-12-01 19:14:48
194,BPI,-1.5,2020-12-01 19:14:48
201,BPI,-1.5,2020-12-01 19:14:48
316,BPI,-1.5,2020-12-01 19:14:48
83,BPI,-1.5,2020-12-01 19:14:48
210,BPI,-1.6,2020-12-01 19:14:48
192,BPI,-1.6,2020-12-01 19:14:48
111,BPI,-1.6,2020-12-01 19:14:48
189,BPI,-1.6,2020-12-01 19:14:48
317,BPI,-1.7,2020-12-01 19:14:48
142,BPI,-1.7,2020-12-01 19:14:48
55,BPI,-1.8,2020-12-01 19:14:48
195,BPI,-1.8,2020-12-01 19:14:48
239,BPI,-1.8,2020-12-01 19:14:48
224,BPI,-1.9,2020-12-01 19:14:48
168,BPI,-1.9,2020-12-01 19:14:48
198,BPI,-1.9,2020-12-01 19:14:48
96,BPI,-2.0,2020-12-01 19:14:48
298,BPI,-2.1,2020-12-01 19:14:48
185,BPI,-2.1,2020-12-01 19:14:48
148,BPI,-2.2,2020-12-01 19:14:48
183,BPI,-2.2,2020-12-01 19:14:48
146,BPI,-2.3,2020-12-01 19:14:48
46,BPI,-2.3,2020-12-01 19:14:48
285,BPI,-2.3,2020-12-01 19:14:48
